Trait ExternalTrait jf_p p_cor p_cor_se nonp_cor nonp_cor_se
MDD executivefunctioning 2.744308254350004e-38 -0.1758 0.0212 0.3093 0.0301
MDD externalizing 1.8113493340383473e-51 0.3325 0.0237 -0.2577 0.0313
MDD household_income 2.4581434985902536e-13 -0.2988 0.0253 0.0555 0.0407
MDD insomnia 1.439376972387591e-13 0.4439 0.0252 0.0891 0.0384
MDD intelligence2 1.30103686607756e-13 -0.1025 0.0192 0.1821 0.0318
MDD internalizing 5.342253258617147e-07 0.7049 0.0943 0.0129 0.1034
MDD lonelines 3.764762359030766e-29 0.5847 0.0211 0.0581 0.0404
MDD longevity 2.7198678486868878e-08 -0.1915 0.0331 0.1229 0.0463
MDD neighbourhood_deprivation 3.102210539039332e-14 0.4159 0.0459 -0.1488 0.0589
MDD neurodegenerative 0.4240138487981262 0.0061 0.04 -0.0355 0.0598
MDD no_sexual_partners 1.8939884702578445e-38 0.2431 0.0247 -0.2854 0.035
MDD noncog 2.4614779905766894e-16 -0.0855 0.0204 0.2218 0.0291
MDD risk_tolerance 4.2313427063249378e-19 0.1401 0.0282 -0.2903 0.0387
MDD selfrated_health 5.156369698124878e-19 0.5421 0.0334 -0.0433 0.0592
MDD sleepduration 0.24878344301400335 -0.1056 0.0246 -0.1678 0.037
MDD subjective_wellbeing 2.548239234895638e-30 -0.6365 0.0359 0.0352 0.0465
OCD Age_at_smoking_initiation 0.34732654075413705 0.3146 0.0606 0.4085 0.081
OCD CUD 0.22860383586085442 -0.0535 0.0719 -0.2084 0.1013
OCD Childhood_IQ 0.8602254023680923 0.3715 0.1213 0.4191 0.1372
OCD EA4 0.316475200072899 0.2559 0.0442 0.3219 0.0583
OCD Menopause 0.6502075049977828 0.1545 0.0761 0.2105 0.0916
OCD Metabolic_Syndrome 0.758160913008951 -0.2983 0.047 -0.3325 0.0616
OCD Risk_beh_composite 0.4780258635023271 -0.0845 0.0552 -0.1552 0.0695
OCD Smoking_cessation 0.21024753947052344 -0.0996 0.0572 -0.22 0.0749
OCD Speeding_propensity 0.6964809904000968 -0.2197 0.0586 -0.1719 0.0749
OCD Tiredness 0.16352156344845203 0.0412 0.0811 -0.1354 0.1044
OCD Waist_to_hip_ratio 0.3989450946584989 -0.1973 0.042 -0.2516 0.0559
OCD backpain 0.2803877493751815 -0.0776 0.0628 -0.1699 0.0726
OCD birth_weight 0.7588949385860604 0.0407 0.067 0.0637 0.0835
OCD chronotype 0.8955633633941537 -0.0215 0.0418 -0.0124 0.0533
OCD cigday 0.19681694199514232 -0.1599 0.0543 -0.2776 0.0785
OCD drinkweek 0.7747631073050819 0.0775 0.0546 0.0486 0.0709
OCD environmentalstress 0.023734657545901205 0.3154 0.0521 0.1592 0.0596
OCD ever_smoker 0.19455895044303217 -0.2106 0.0459 -0.3177 0.0588
OCD executivefunctioning 0.31087849519269684 -0.1439 0.05 -0.0711 0.0613
OCD externalizing 0.06884907076823824 -0.1723 0.0516 -0.3141 0.0646
OCD household_income 0.4515809478093432 0.036 0.0588 0.1146 0.0687
OCD insomnia 0.2494970665059204 -0.0632 0.0619 -0.1807 0.0786
OCD intelligence2 0.2783608419234703 0.0751 0.0436 0.1591 0.0561
OCD internalizing 0.31464718072756404 0.0287 0.1597 -0.2194 0.1835
OCD lonelines 0.013847073490793633 -0.0393 0.0561 -0.2593 0.074
OCD longevity 0.4262397452493881 0.139 0.0605 0.227 0.0816
OCD neighbourhood_deprivation 0.4121795727065195 -0.0654 0.0982 -0.1957 0.1301
OCD neurodegenerative 0.9963772868150427 -0.0562 0.0837 -0.052 0.1116
OCD no_sexual_partners 0.14983572365406245 -0.0205 0.05 -0.1283 0.0659
OCD noncog 0.4288610600974061 0.0524 0.0461 0.1073 0.0545
OCD risk_tolerance 0.4221005298925097 -0.1035 0.0616 -0.1887 0.0791
OCD selfrated_health 0.11644653093609442 -0.0954 0.0667 -0.2787 0.0911
OCD sleepduration 0.23228772797050334 0.0344 0.0492 0.1197 0.062
OCD subjective_wellbeing 0.1349046291791243 -0.1961 0.0857 -0.0168 0.0914
PTSD Age_at_smoking_initiation 0.03470965673529837 -0.3533 0.0641 -0.1174 0.1061
PTSD CUD 0.04308486030888294 0.4457 0.0855 0.1396 0.1458
PTSD Childhood_IQ 0.6830006954709625 -0.1878 0.1208 -0.1077 0.1881
PTSD EA4 0.5951408640172318 -0.2594 0.0451 -0.221 0.085
PTSD Menopause 0.6653868619092909 -0.2098 0.0724 -0.16 0.1265
PTSD Metabolic_Syndrome 0.537390530088863 0.3423 0.0478 0.4291 0.1086
